 100 10 0 
 594 635 719 961 582 856 656 
 692 817 722 802 630 600 711 
 871 701 404 769 967 960 842 
 801 1086 681 559 498 692 823 
 689 707 1013 816 450 867 862 
 762 914 874 986 597 778 1048 
 662 854 590 1063 790 750 712 
 1063 633 488 918 437 836 874 
 988 723 900 537 814 897 778 
 766 492 690 685 630 533 687 
 947 572 927 643 691 647 800 
 821 940 553 755 1009 756 375 
 352 907 741 621 519 1067 683 
 516 798 776 924 545 644 876 
 893 797 
 669 147 95 407 769 207 981 
 412 903 334 3 215 270 86 
 476 168 345 252 465 457 82 
 372 440 760 581 84 60 474 
 896 968 955 319 67 403 233 
 311 139 362 839 984 86 361 
 156 844 702 473 975 45 782 
 928 113 392 566 767 214 746 
 694 289 565 485 28 817 348 
 233 437 193 21 683 445 626 
 294 861 208 918 835 219 732 
 223 564 258 36 669 126 862 
 373 170 98 434 174 886 680 
 133 338 825 242 118 389 140 
 145 209 
 136 958 383 525 549 327 505 
 715 465 967 114 646 868 836 
 319 739 377 85 767 831 302 
 778 847 363 275 247 687 32 
 530 804 245 714 811 943 413 
 47 157 76 277 916 995 817 
 154 643 572 652 389 406 441 
 569 387 75 196 37 616 165 
 742 124 529 550 613 378 75 
 838 758 644 646 858 224 588 
 681 149 804 742 548 272 286 
 814 376 689 581 997 623 124 
 514 672 419 436 867 47 344 
 144 692 990 265 661 489 677 
 451 215 
 175 152 587 184 363 421 888 
 220 985 113 736 922 502 226 
 707 299 55 786 338 352 930 
 625 510 645 361 167 560 471 
 437 211 83 735 576 526 747 
 67 297 159 261 929 413 582 
 36 115 898 199 62 281 84 
 492 331 529 203 249 361 711 
 818 373 351 68 25 429 672 
 160 533 105 563 752 988 971 
 788 269 691 348 260 322 851 
 645 378 340 543 997 470 863 
 111 631 265 356 570 473 679 
 692 292 68 767 59 221 447 
 313 5 
 438 730 84 938 473 11 738 
 41 432 307 140 341 146 213 
 245 386 532 268 88 725 422 
 730 464 327 809 183 723 360 
 888 512 926 267 406 787 263 
 222 489 268 444 974 401 713 
 799 44 140 917 486 945 572 
 903 956 19 559 344 737 469 
 525 543 154 583 623 965 673 
 187 572 815 467 770 74 54 
 235 338 206 480 601 265 917 
 589 210 62 254 369 262 564 
 166 916 412 517 617 771 637 
 144 280 333 11 691 304 37 
 336 823 
 332 170 614 789 984 703 291 
 180 637 643 776 768 291 513 
 661 281 33 982 583 153 950 
 276 548 979 861 848 972 148 
 426 925 776 515 208 583 967 
 263 326 567 572 325 300 594 
 425 302 849 968 538 218 26 
 709 154 32 843 713 758 456 
 365 911 771 902 451 272 417 
 271 716 198 20 369 512 503 
 485 596 979 423 45 114 322 
 917 541 248 81 201 214 249 
 304 58 404 231 168 786 970 
 809 346 421 691 411 714 550 
 453 456 
 510 264 262 713 49 517 172 
 162 485 328 118 833 668 963 
 731 414 29 840 886 624 415 
 439 774 165 767 965 528 847 
 361 647 756 391 280 617 935 
 523 726 889 685 384 106 722 
 676 565 636 202 553 341 402 
 834 563 10 624 9 42 242 
 826 815 350 315 121 826 599 
 941 166 883 31 700 530 261 
 881 386 641 867 656 398 370 
 222 871 591 800 905 133 127 
 85 261 508 824 787 668 77 
 679 530 662 534 922 737 933 
 343 579 
 53 753 167 825 235 386 993 
 107 557 32 62 165 981 396 
 713 70 461 438 253 134 443 
 235 431 163 501 132 459 590 
 16 655 623 247 728 652 601 
 798 718 383 889 60 261 576 
 846 341 931 740 762 526 184 
 105 773 374 200 548 90 814 
 177 75 452 176 947 722 958 
 226 289 414 117 607 380 514 
 38 753 778 429 126 72 857 
 152 694 545 526 72 211 23 
 692 656 535 578 845 804 937 
 658 930 893 629 626 546 128 
 763 605 
 964 989 936 41 85 567 383 
 590 352 96 422 533 832 779 
 56 464 6 927 973 686 563 
 262 988 987 53 641 716 616 
 378 585 5 280 134 797 273 
 606 388 671 513 799 998 893 
 425 723 517 833 212 363 919 
 975 878 265 763 330 323 554 
 397 293 794 29 970 209 185 
 400 10 484 535 254 273 820 
 292 115 301 343 377 475 69 
 242 926 822 661 739 984 37 
 643 519 239 264 657 426 168 
 215 112 898 223 709 937 610 
 475 851 
 91 727 607 698 988 565 515 
 742 48 719 631 691 618 936 
 291 80 245 45 751 998 289 
 167 942 727 134 873 761 391 
 642 286 572 923 802 575 763 
 612 707 695 506 66 86 607 
 335 560 164 304 296 299 447 
 757 684 610 901 964 483 637 
 435 832 245 677 845 408 107 
 288 439 645 407 968 794 189 
 884 352 351 651 997 462 365 
 131 759 495 667 438 46 165 
 93 514 352 681 23 870 308 
 937 954 425 552 424 104 456 
 604 88 
 809 753 842 864 620 298 386 
 173 205 792 704 754 393 273 
 421 472 618 296 677 883 674 
 252 925 586 65 32 946 868 
 671 392 530 267 1 944 372 
 226 972 396 454 445 890 607 
 114 597 487 613 344 545 682 
 111 82 163 772 409 257 479 
 731 781 827 284 155 6 9 
 240 537 36 729 118 95 426 
 265 542 318 521 310 64 47 
 979 160 913 951 542 454 33 
 6 406 272 218 422 705 456 
 160 340 17 976 25 577 621 
 434 348 
 32372 38120 33282 34572 37627 39398 35498 
 38167 38985 34094 
